(((0, 0, 2), (0, 3, 2)), 1)
(((0, 3, 2), (2, 3, 6)), 1)
(((3, 0, 4), (3, 2, 2)), 2)
(((6, 5, 5), (6, 7, 3)), 2)
(((4, 5, 5), (4, 7, 4)), 1)
(((2, 3, 6), (4, 3, 4)), 2)
(((0, 7, 3), (2, 7, 6)), 2)
(((5, 0, 3), (7, 0, 1)), 1)
(((5, 2, 2), (5, 4, 2)), 1)
(((8, 3, 4), (8, 5, 3)), 1)
(((5, 0, 3), (5, 2, 2)), 1)
(((6, 3, 4), (8, 3, 4)), 2)
(((6, 1, 3), (8, 1, 2)), 1)
(((4, 5, 5), (6, 5, 5)), 2)
(((0, 5, 2), (2, 5, 6)), 1)
(((3, 8, 3), (5, 8, 3)), 2)
(((2, 7, 6), (4, 7, 4)), 2)
(((0, 0, 2), (3, 0, 4)), 1)
(((8, 1, 2), (8, 3, 4)), 1)
(((4, 1, 1), (4, 3, 4)), 1)
(((4, 3, 4), (4, 5, 5)), 1)
(((5, 4, 2), (7, 4, 1)), 1)
(((2, 5, 6), (2, 7, 6)), 2)
(((6, 1, 3), (6, 3, 4)), 2)
(((2, 5, 6), (4, 5, 5)), 1)
(((4, 7, 4), (6, 7, 3)), 1)
(((3, 0, 4), (5, 0, 3)), 1)
(((6, 5, 5), (8, 5, 3)), 1)
(((1, 8, 1), (3, 8, 3)), 1)
(((0, 5, 2), (0, 7, 3)), 1)
(((2, 1, 1), (2, 3, 6)), 1)
(((8, 5, 3), (8, 8, 2)), 1)
(((5, 8, 3), (8, 8, 2)), 1)
(((2, 3, 6), (2, 5, 6)), 2)
